season,constructorId,points,position,wins
2010,red_bull,498,1,9
2010,mclaren,454,2,5
2010,ferrari,396,3,5
2010,mercedes,214,4,0
2010,renault,163,5,0
2010,williams,69,6,0
2010,force_india,68,7,0
2010,sauber,44,8,0
2010,toro_rosso,13,9,0
2010,lotus_racing,0,10,0
2010,hrt,0,11,0
2010,virgin,0,12,0
2011,red_bull,650,1,12
2011,mclaren,497,2,6
2011,ferrari,375,3,1
2011,mercedes,165,4,0
2011,renault,73,5,0
2011,force_india,69,6,0
2011,sauber,44,7,0
2011,toro_rosso,41,8,0
2011,williams,5,9,0
2011,lotus_racing,0,10,0
2011,hrt,0,11,0
2011,virgin,0,12,0
2012,red_bull,460,1,7
2012,ferrari,400,2,3
2012,mclaren,378,3,7
2012,lotus_f1,303,4,1
2012,mercedes,142,5,1
2012,sauber,126,6,0
2012,force_india,109,7,0
2012,williams,76,8,1
2012,toro_rosso,26,9,0
2012,caterham,0,10,0
2012,marussia,0,11,0
2012,hrt,0,12,0
2013,red_bull,596,1,13
2013,mercedes,360,2,3
2013,ferrari,354,3,2
2013,lotus_f1,315,4,1
2013,mclaren,122,5,0
2013,force_india,77,6,0
2013,sauber,57,7,0
2013,toro_rosso,33,8,0
2013,williams,5,9,0
2013,marussia,0,10,0
2013,caterham,0,11,0
2014,mercedes,701,1,16
2014,red_bull,405,2,3
2014,williams,320,3,0
2014,ferrari,216,4,0
2014,mclaren,181,5,0
2014,force_india,155,6,0
2014,toro_rosso,30,7,0
2014,lotus_f1,10,8,0
2014,marussia,2,9,0
2014,sauber,0,10,0
2014,caterham,0,11,0
2015,mercedes,703,1,16
2015,ferrari,428,2,3
2015,williams,257,3,0
2015,red_bull,187,4,0
2015,force_india,136,5,0
2015,lotus_f1,78,6,0
2015,toro_rosso,67,7,0
2015,sauber,36,8,0
2015,mclaren,27,9,0
2015,manor,0,10,0
2016,mercedes,765,1,19
2016,red_bull,468,2,2
2016,ferrari,398,3,0
2016,force_india,173,4,0
2016,williams,138,5,0
2016,mclaren,76,6,0
2016,toro_rosso,63,7,0
2016,haas,29,8,0
2016,renault,8,9,0
2016,sauber,2,10,0
2016,manor,1,11,0
2017,mercedes,668,1,12
2017,ferrari,522,2,5
2017,red_bull,368,3,3
2017,force_india,187,4,0
2017,williams,83,5,0
2017,renault,57,6,0
2017,toro_rosso,53,7,0
2017,haas,47,8,0
2017,mclaren,30,9,0
2017,sauber,5,10,0
2018,mercedes,655,1,11
2018,ferrari,571,2,6
2018,red_bull,419,3,4
2018,renault,122,4,0
2018,haas,93,5,0
2018,mclaren,62,6,0
2018,force_india,52,7,0
2018,sauber,48,8,0
2018,toro_rosso,33,9,0
2018,williams,7,10,0
2019,mercedes,739,1,15
2019,ferrari,504,2,3
2019,red_bull,417,3,3
2019,mclaren,145,4,0
2019,renault,91,5,0
2019,toro_rosso,85,6,0
2019,racing_point,73,7,0
2019,alfa,57,8,0
2019,haas,28,9,0
2019,williams,1,10,0
2020,mercedes,573,1,13
2020,red_bull,319,2,2
2020,mclaren,202,3,0
2020,racing_point,195,4,1
2020,renault,181,5,0
2020,ferrari,131,6,0
2020,alphatauri,107,7,1
2020,alfa,8,8,0
2020,haas,3,9,0
2020,williams,0,10,0
2021,mercedes,613.5,1,9
2021,red_bull,585.5,2,11
2021,ferrari,323.5,3,0
2021,mclaren,275,4,1
2021,alpine,155,5,1
2021,alphatauri,142,6,0
2021,aston_martin,77,7,0
2021,williams,23,8,0
2021,alfa,13,9,0
2021,haas,0,10,0
2022,red_bull,759,1,17
2022,ferrari,554,2,4
2022,mercedes,515,3,1
2022,alpine,173,4,0
2022,mclaren,159,5,0
2022,alfa,55,6,0
2022,aston_martin,55,7,0
2022,haas,37,8,0
2022,alphatauri,35,9,0
2022,williams,8,10,0
